fighter_name,bonus_type,event_name,event_date
Manuel Torres,PERF,UFC Fight Night: Moreno vs. Royval 2,
Ilia Topuria,PERF,UFC 298: Volkanovski vs. Topuria,
Anthony Hernandez,PERF,UFC 298: Volkanovski vs. Topuria,
Amanda Lemos,FIGHT,UFC 298: Volkanovski vs. Topuria,
Mackenzie Dern,FIGHT,UFC 298: Volkanovski vs. Topuria,
Zhang Mingyang,PERF,UFC 298: Volkanovski vs. Topuria,
Dan Ige,PERF,UFC Fight Night: Hermansson vs. Pyfer,
Rodolfo Vieira,PERF,UFC Fight Night: Hermansson vs. Pyfer,
Carlos Prates,PERF,UFC Fight Night: Hermansson vs. Pyfer,
Bogdan Guskov,PERF,UFC Fight Night: Hermansson vs. Pyfer,
Randy Brown,PERF,UFC Fight Night: Dolidze vs. Imavov,
Molly McCann,PERF,UFC Fight Night: Dolidze vs. Imavov,
Charles Johnson,FIGHT,UFC Fight Night: Dolidze vs. Imavov,
Azat Maksum,FIGHT,UFC Fight Night: Dolidze vs. Imavov,
Dricus Du Plessis,FIGHT,UFC 297: Strickland vs. Du Plessis,
Sean Strickland,FIGHT,UFC 297: Strickland vs. Du Plessis,
Gillian Robertson,PERF,UFC 297: Strickland vs. Du Plessis,
Jasmine Jasudavicius,PERF,UFC 297: Strickland vs. Du Plessis,
Magomed Ankalaev,PERF,UFC Fight Night: Ankalaev vs. Walker 2,
Jim Miller,PERF,UFC Fight Night: Ankalaev vs. Walker 2,
Brunno Ferreira,PERF,UFC Fight Night: Ankalaev vs. Walker 2,
Marcus McGhee,PERF,UFC Fight Night: Ankalaev vs. Walker 2,
Josh Emmett,PERF,UFC 296: Edwards vs. Covington,
Irene Aldana,FIGHT,UFC 296: Edwards vs. Covington,
Karol Rosa,FIGHT,UFC 296: Edwards vs. Covington,
Ariane da Silva,PERF,UFC 296: Edwards vs. Covington,
Shamil Gaziev,PERF,UFC 296: Edwards vs. Covington,
Khalil Rountree Jr.,PERF,UFC Fight Night: Song vs. Gutierrez,
Nasrat Haqparast,PERF,UFC Fight Night: Song vs. Gutierrez,
